query,room,item_type_same,branded_terms,category hierarchy,product_class,category,sub_category,materials,item_type_unconstrained,query_classification,corrected_query
dinosaur,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art / Green Wall Art sep Baby & Kids / Toddler & Kids Bedroom Furniture / Baby & Kids Dressers sep Outdoor / Outdoor Recreation / Backyard Play / Kids Cars & Ride-On Toys sep Outdoor / Outdoor Décor / Statues & Sculptures sep Décor & Pillows / Candles & Holders / Candle Holders / Sconce Candle Holders sep School Furniture and Supplies / School Furniture / School Tables / Folding Tables / Wood Folding Tables,dinosaur
dolomite subway tile,kitchen,floor & wall tile,bianco dolomite,unknown,Floor & Wall Tile,Home Improvement ," Flooring, Walls & Ceiling ",unknown,marble subway tile,"Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles / Porcelain Floor Tiles & Wall Tiles sep Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles / Natural Stone Floor Tiles & Wall Tiles sep Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles sep Home Improvement / Flooring, Walls & Ceiling / Walls & Ceilings / Accent Tiles / Ceramic Accent Tiles",dolomite subway tile
donaldson teak couch,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Sofas sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Wingback Accent Chairs sep Furniture / Office Furniture / Chair Mats sep Furniture / Living Room Furniture / Ottomans & Poufs,donaldson teak couch
door jewelry organizer,bedroom,unknown,unknown,Furniture / Bedroom Furniture / Jewelry Armoires,unknown,Furniture , Bedroom Furniture ,unknown,No Category Fits,Storage & Organization / Garage & Outdoor Storage & Organization / Garage Storage Cabinets sep Bed & Bath / Shower Curtains & Accessories / Shower Curtain Hooks sep Décor & Pillows / Candles & Holders / Candle Holders sep Storage & Organization / Closet Storage & Organization / Closet Accessories sep Furniture / Office Furniture / Office Storage Cabinets,door jewelry organizer
door pulls bronze matte 4 inch,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls / Bronze Cabinet & Drawer Pulls sep Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls sep Home Improvement / Doors & Door Hardware / Door Hardware & Accessories / Door Knobs / Egg Door Knobs sep Home Improvement / Doors & Door Hardware / Interior Doors / Sliding Interior Doors,door pulls bronze matte 4 inch
dorel vanity,bathroom,vanity,unknown,unknown,unknown,Home Improvement , Bathroom Remodel & Bathroom Fixtures ,unknown,No Category Fits,Furniture / Bedroom Furniture / Armoires & Wardrobes sep Furniture / Bedroom Furniture / Dressers & Chests sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities,dorel vanity
driftwood mirror,unknown,mirror,unknown,unknown,Wall & Accent Mirrors,Décor & Pillows , Mirrors ,unknown,No Category Fits,Décor & Pillows / Mirrors / All Mirrors sep Décor & Pillows / Mirrors / All Mirrors / Accent Mirrors sep Décor & Pillows / Wall Décor / Wall Accents sep Décor & Pillows / Mirrors / All Mirrors / Leaning & Floor Mirrors sep Lighting / Wall Lights / Bathroom Vanity Lighting / Traditional Bathroom Vanity Lighting,driftwood mirror
drudge report,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Stands & Entertainment Centers / Traditional TV Stands & Entertainment Centers sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Stands & Entertainment Centers sep Kitchen & Tabletop / Tableware & Drinkware / Serveware / Serving Bowls & Baskets / Serving Bowls / NA Serving Bowls,drudge report
drum picture,unknown,unknown,unknown,unknown,Wall Art,Décor & Pillows , Art ,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Décor & Pillows / Home Accessories / Decorative Objects sep Décor & Pillows / Art / All Wall Art / Green Wall Art sep Baby & Kids / Baby & Kids Décor & Lighting / All Baby & Kids Wall Art sep Décor & Pillows / Art / All Wall Art / Blue Wall Art,drum picture
dual monitor stand,office,unknown,unknown,"School Furniture and Supplies / School Boards & Technology / AV, Mounts & Tech Accessories / Electronic Mounts & Stands / Computer Mounts",unknown,unknown,unknown,unknown,No Category Fits,"School Furniture and Supplies / School Boards & Technology / AV, Mounts & Tech Accessories / Electronic Mounts & Stands / Computer Mounts sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Plant Stands & Tables sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Folding Frame Projection Screens sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Inflatable Projection Screens",dual monitor stand
dull bed with shirt head board,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Bedroom Furniture / Beds & Headboards / Headboards sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Beds sep Furniture / Bedroom Furniture / Beds & Headboards / Beds sep Furniture / Bedroom Furniture / Daybeds sep Furniture / Bedroom Furniture / Nightstands sep Furniture / Living Room Furniture / Sofas sep Décor & Pillows / Art / All Wall Art,dull bed with short head board
dumbbells,unknown,unknown,unknown,unknown,Physical Education Equipment,,,unknown,No Category Fits,Appliances / Washers & Dryers / Washer & Dryer Sets sep Home Improvement / Building Equipment / Dollies / Hand Truck Dollies sep Outdoor / Outdoor Recreation / Backyard Play / Climbing Toys & Slides,dumbbells
e12/candelabra,unknown,smart bulb,unknown,unknown,Light Bulbs,Lighting , Light Bulbs & Hardware ,,No Category Fits,"Décor & Pillows / Candles & Holders / Candle Holders sep Décor & Pillows / Candles & Holders / Candle Holders / Sconce Candle Holders sep Décor & Pillows / Home Accessories / Vases, Urns, Jars & Bottles sep Lighting / Ceiling Lights / Chandeliers sep Décor & Pillows / Home Accessories / Decorative Objects",e12/candelabra
edge chair mat,office,unknown,unknown,unknown,Chairmats,Furniture , Office Furniture ,unknown,chair mat,"Furniture / Office Furniture / Chair Mats sep Furniture / Office Furniture / Chair Mats / Hard Floor Chair Mats sep Home Improvement / Flooring, Walls & Ceiling / Floor Tiles & Wall Tiles sep Furniture / Office Furniture / Office Chair Accessories / Seat Cushion Office Chair Accessories",edge chair mat
eiffel tower wall art,unknown,unknown,unknown,unknown,Wall Art,Décor & Pillows , Art ,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Décor & Pillows / Art / All Wall Art / Yellow Wall Art sep Décor & Pillows / Art / All Wall Art / Blue Wall Art sep Décor & Pillows / Art / All Wall Art / Red Wall Art sep Décor & Pillows / Art / All Wall Art / Green Wall Art,eiffel tower wall art
elegant executive chair,office,office chair,unknown,Furniture / Office Furniture / Office Chairs,Office Chairs,Furniture , Office Furniture ,unknown,executive chair,Furniture / Office Furniture / Office Chairs / Task Office Chairs sep Furniture / Office Furniture / Office Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs sep Furniture / Office Furniture / Office Stools sep Furniture / Living Room Furniture / Chairs & Seating / Recliners sep Furniture / Living Room Furniture / Chairs & Seating / Massage Chairs,elegant executive chair
elephant framed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Baby & Kids / Baby & Kids Décor & Lighting / All Baby & Kids Wall Art sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Desks sep Décor & Pillows / Art / All Wall Art / Green Wall Art sep Décor & Pillows / Home Accessories / Decorative Objects,elephant framed
emma headboard,bedroom,unknown,hirsch sep twin bookcase headboard,Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Headboards,Kids Headboards,Baby & Kids , Toddler & Kids Bedroom Furniture ,laminated particleboard,bookcase headboard,Furniture / Bedroom Furniture / Beds & Headboards / Bed Frames / Twin Bed Frames sep Furniture / Bedroom Furniture / Beds & Headboards / Headboards sep Bed Accessories sep Furniture / Bedroom Furniture / Jewelry Armoires sep Furniture / Bedroom Furniture / Beds & Headboards / Beds,emma headboard
enclosed shoe rack,entryway,unknown,unknown,Storage & Organization / Shoe Storage / All Shoe Storage,Shoe Storage,Storage & Organization , Shoe Storage ,unknown,No Category Fits,Storage & Organization / Shoe Storage / All Shoe Storage / Rack Shoe Storage sep Storage & Organization / Bathroom Storage & Organization / Bathroom Cabinets & Shelving sep Furniture / Living Room Furniture / Chairs & Seating / Benches sep Décor & Pillows / Home Accessories / Decorative Trays sep Storage & Organization / Shoe Storage / All Shoe Storage / Cabinet Shoe Storage,enclosed shoe rack
end table between recliners,living room,end table,unknown,Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables,unknown,Furniture , Living Room Furniture ,unknown,No Category Fits,Furniture / Living Room Furniture / Chairs & Seating / Recliners sep Furniture / Living Room Furniture / Chairs & Seating / Recliners / Brown Recliners sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables sep Furniture / Bedroom Furniture / Jewelry Armoires,end table between recliners
entertainment console,living room,tv stand,unknown,unknown,TV Stands & Entertainment Centers,Furniture , Living Room Furniture ,unknown,tv stand,Furniture / Living Room Furniture / Console Tables sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Stands & Entertainment Centers sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Inflatable Projection Screens sep Furniture / Living Room Furniture / Sectionals sep Furniture / Office Furniture / Office Storage Cabinets,entertainment console
entertainment stand end table,living room,tv stand,unknown,Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Stands & Entertainment Centers,TV Stands & Entertainment Centers,Furniture , Living Room Furniture ,unknown,tv stand,Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / TV Stands & Entertainment Centers sep Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Benches sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Table Sets,entertainment stand end table
entrance table,unknown,unknown,unknown,Furniture / Living Room Furniture / Console Tables,Sofa & Console Tables,Furniture , Living Room Furniture ,unknown,console table,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Tables sep Furniture / Living Room Furniture / Console Tables sep Décor & Pillows / Home Accessories / Decorative Objects sep Furniture / Living Room Furniture / Chairs & Seating / Benches sep Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables,entrance table
ergonomic chair,office,office chair,unknown,unknown,unknown,Furniture , Office Furniture ,unknown,No Category Fits,Furniture / Office Furniture / Office Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Recliners sep Furniture / Living Room Furniture / Chairs & Seating / Massage Chairs sep Furniture / Office Furniture / Office Chairs / Task Office Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs,ergonomic chair
family lamp,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Lighting / Table & Floor Lamps / Floor Lamps sep Furniture / Living Room Furniture / Chairs & Seating / Chaise Lounge Chairs sep Décor & Pillows / Home Accessories / Decorative Objects sep Lighting / Ceiling Lights / Chandeliers sep Furniture / Living Room Furniture / Console Tables,family lamp
farmhouse bread box,kitchen,unknown,unknown,Kitchen & Tabletop / Kitchen Organization / Food Storage & Canisters / Food Storage Containers,Food Storage & Dispensers,Kitchen & Tabletop , Kitchen Organization ,unknown,No Category Fits,Kitchen & Tabletop / Kitchen Organization / Food Storage & Canisters / Food Storage Containers sep Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts sep Décor & Pillows / Home Accessories / Decorative Objects sep Home Improvement / Kitchen Remodel & Kitchen Fixtures / Kitchen Sinks & Faucet Components / Kitchen Sinks sep Décor & Pillows / Home Accessories / Decorative Trays,farmhouse bread box
farmhouse cabinet,unknown,unknown,unknown,unknown,unknown,Furniture ,unknown,unknown,No Category Fits,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen and Dining Sets sep Furniture / Office Furniture / Office Storage Cabinets sep Furniture / Living Room Furniture / Cabinets & Chests sep Home Improvement / Kitchen Remodel & Kitchen Fixtures / Kitchen Sinks & Faucet Components / Kitchen Sinks sep Décor & Pillows / Wall Décor / Wall Accents,farmhouse cabinet
farmhouse hood vent,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Appliances / Kitchen Appliances / Range Hoods / All Range Hoods sep Appliances / Kitchen Appliances / Range Hoods / All Range Hoods / Wall Mount Range Hoods sep Home Improvement / Kitchen Remodel & Kitchen Fixtures / Smoke Detectors / Wall & Ceiling Mounted Smoke Detectors sep Décor & Pillows / Home Accessories / Decorative Objects sep Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts,farmhouse hood vent
"fawkes 36"" blue vanity",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities / Traditional Bathroom Vanities sep Furniture / Bedroom Furniture / Bedroom and Makeup Vanities sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows / Blue Throw Pillows sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Décor & Pillows / Art / All Wall Art / Blue Wall Art,"fawkes 36"" blue vanity"
feather wall art,unknown,unknown,unknown,unknown,unknown,Décor & Pillows ,unknown,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Décor & Pillows / Home Accessories / Decorative Objects sep Décor & Pillows / Art / All Wall Art / Blue Wall Art sep Décor & Pillows / Wall Décor / Wall Accents sep Décor & Pillows / Art / All Wall Art / Red Wall Art,feather wall art
filaret outdoor sofa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Outdoor Chaise & Lounge Chairs sep Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Dining Chair Patio Furniture Cushions sep Storage & Organization / Garage & Outdoor Storage & Organization / Outdoor Covers / Patio Furniture Covers sep Lighting / Outdoor Lighting / Outdoor Lanterns & Lamps,filaret outdoor sofa
